通匯金融代號	總單位名稱	帳號長度	地址	電話
620	林邊恆春萬丹新園車城里港枋山麟洛滿州		枋寮長治南州屏東市高樹佳冬新埤	07 7439121
通匯金融代號	支單位名稱	地址	電話
6200086	九如鄉農會	屏東縣九如鄉九如路二段２０７號	08 7392224
6200787	洽興分部	屏東縣九如鄉洽興村平和路１３６巷２０號	08 7750856
6200879	車城地區農會	屏東縣車城鄉福興村新興路１－２號	08 8821022
6200112	里港鄉農會	屏東縣里港鄉春林村中山路２４號	08 7752111
6200330	土庫辦事處	屏東縣里港鄉土庫村土庫路７３∣１號	08 7731052
6200341	載興辦事處	屏東縣里港鄉載興村載興路５８∣２號	08 7751087
6200628	三廓分部	屏東縣里港鄉三廓村三和路１２３號	08 7731727
6200259	枋山地區農會	屏東縣枋山鄉村德隆路２５－１號	08 8771111
6200743	枋山分部	屏東縣枋山鄉枋山村枋山路１０號	08 8761115
6200754	加祿分部	屏東縣枋山鄉加祿村會社路８４之１號	08 8720069
6200031	東港鎮農會	屏東縣東港鎮朝陽街２０號	08 8331111
6200721	下部分部	屏東縣東港鎮下部里７３號	08 8353653
6200189	南州地區農會	屏東縣南州鄉仁里村三民路２７號	08 8642111
6200813	新埤分部	屏東縣新埤鄉新埤村新華路２５４號	08 7971016
6200868	屏東市農會	屏東縣屏東市民生路７９－９號	08 7214492
6200042	恆春鎮農會	屏東縣恆春鎮山腳里恆南路１１巷２弄２號	08 8894501
6200547	墾丁分部	屏東縣恆春鎮墾丁路２０８號	08 8861386
6200167	崁頂鄉農會信用部	屏東縣崁頂鄉崁頂村興農路３５號	08 8632224
6200709	力社分部	屏東縣崁頂鄉力社村力社路４８號	08 8632293
6200710	港東分部	屏東縣崁頂鄉港東村平和南路２５６號	08 8633195
6200204	琉球鄉農會	屏東縣琉球鄉本福村民生路３號	08 8612511
6200215	滿州鄉農會	屏東縣滿州鄉滿州村中山路３４號	08 8801117
6200075	麟洛鄉農會	屏東縣麟洛鄉麟趾村中正路３１號	08 7222475
